invoice_id,client_name,client_size,client_industry,invoice_amount,service_type,issue_date,issue_month,issue_quarter,issue_day_of_week,payment_terms_days,project_duration_weeks,invoices_ytd,prior_late_payments,prior_late_rate,has_purchase_order,contact_responsiveness,is_late,days_late,late_payment_probability,risk_flag,risk_tier
INV-01759,Keystone Retail,enterprise,retail,71647.13,process_automation,2023-05-21,5,2,Sunday,45,5,4,4,1.0,0,1,1,64,0.8318,1,critical
INV-00974,Falcon Industries,mid-market,manufacturing,57702.35,process_automation,2024-10-14,10,4,Monday,45,4,6,4,0.67,0,5,1,40,0.8314,1,critical
INV-00124,Echo Ventures,small,retail,6251.22,training,2023-10-09,10,4,Monday,15,3,10,7,0.7,0,1,1,37,0.8313,1,critical
INV-01104,Falcon Industries,mid-market,manufacturing,63917.5,training,2024-10-19,10,4,Saturday,60,6,2,2,1.0,1,5,1,90,0.8311,1,critical
INV-01848,Horizon LLC,small,technology,13812.66,analytics_consulting,2023-11-23,11,4,Thursday,30,5,1,1,1.0,1,4,1,11,0.8303,1,critical
INV-00521,Falcon Industries,mid-market,manufacturing,11967.17,reporting_setup,2023-11-29,11,4,Wednesday,60,16,4,2,0.5,0,2,1,45,0.8289,1,critical
INV-00051,Granite Partners,enterprise,finance,82198.02,analytics_consulting,2023-12-02,12,4,Saturday,60,13,9,6,0.67,1,1,1,70,0.8257,1,critical
INV-00072,Echo Ventures,small,retail,7409.74,training,2024-05-27,5,2,Monday,60,2,14,5,0.36,0,1,1,87,0.8256,1,critical
INV-00486,Horizon LLC,small,technology,13003.75,process_automation,2024-12-30,12,4,Monday,30,16,16,2,0.12,1,2,1,2,0.8256,1,critical
INV-00702,Ironclad Inc,mid-market,healthcare,11812.93,analytics_consulting,2023-12-15,12,4,Friday,15,9,8,4,0.5,0,5,1,8,0.8246,1,critical
INV-00043,Acme Corp,enterprise,manufacturing,55780.17,reporting_setup,2023-04-20,4,2,Thursday,30,15,2,2,1.0,1,1,1,60,0.8245,1,critical
INV-00695,Cedar Solutions,small,technology,14590.1,analytics_consulting,2023-05-06,5,2,Saturday,60,1,8,7,0.88,1,5,1,35,0.8245,1,critical
INV-01085,Delta Group,enterprise,healthcare,127281.97,process_automation,2023-10-09,10,4,Monday,60,10,12,6,0.5,0,5,1,85,0.8241,1,critical
INV-00204,Delta Group,enterprise,healthcare,185079.71,analytics_consulting,2023-11-04,11,4,Saturday,60,14,14,8,0.57,1,4,1,27,0.8234,1,critical
INV-00664,Echo Ventures,small,retail,7382.97,process_automation,2024-09-19,9,3,Thursday,45,6,11,7,0.64,0,2,1,85,0.8233,1,critical
INV-01658,Keystone Retail,enterprise,retail,100484.5,training,2023-10-08,10,4,Sunday,60,14,2,1,0.5,1,3,1,40,0.8233,1,critical
INV-00145,Keystone Retail,enterprise,retail,135553.77,reporting_setup,2023-06-29,6,2,Thursday,60,5,3,3,1.0,1,2,1,26,0.8223,1,critical
INV-00216,Echo Ventures,small,retail,2566.76,process_automation,2023-12-29,12,4,Friday,60,13,15,3,0.2,0,2,1,11,0.8207,1,critical
INV-01500,Echo Ventures,small,retail,4320.65,analytics_consulting,2023-09-02,9,3,Saturday,30,12,7,4,0.57,0,1,1,29,0.8205,1,critical
INV-01112,Echo Ventures,small,retail,6845.92,process_automation,2023-05-25,5,2,Thursday,60,15,1,0,0.0,1,2,1,11,0.82,1,critical
INV-00489,Ironclad Inc,mid-market,healthcare,39354.62,data_migration,2024-10-18,10,4,Friday,15,2,8,8,1.0,0,1,1,67,0.8196,1,critical
INV-00946,Birch Holdings,mid-market,finance,74669.54,process_automation,2023-12-18,12,4,Monday,60,1,6,4,0.67,0,1,1,4,0.8171,1,critical
INV-00441,Echo Ventures,small,retail,4035.16,training,2024-12-18,12,4,Wednesday,60,1,5,0,0.0,0,1,1,14,0.8162,1,critical
INV-01279,Jade Consulting,small,professional_services,9396.03,process_automation,2024-12-05,12,4,Thursday,60,6,15,0,0.0,0,5,1,44,0.8152,1,critical
INV-00438,Horizon LLC,small,technology,12272.52,data_migration,2023-11-03,11,4,Friday,60,8,1,1,1.0,1,5,1,32,0.8144,1,critical
INV-01079,Granite Partners,enterprise,finance,47274.43,data_migration,2024-12-17,12,4,Tuesday,60,1,6,4,0.67,1,2,1,15,0.8133,1,critical
INV-00771,Jade Consulting,small,professional_services,3814.22,process_automation,2024-04-07,4,2,Sunday,15,6,2,2,1.0,0,1,1,9,0.8129,1,critical
INV-00175,Lumen Analytics,mid-market,technology,63407.98,reporting_setup,2024-09-26,9,3,Thursday,30,8,2,2,1.0,0,1,1,57,0.8118,1,critical
INV-00029,Echo Ventures,small,retail,13722.04,reporting_setup,2024-06-01,6,2,Saturday,45,2,3,3,1.0,0,1,1,17,0.8111,1,critical
INV-01719,Birch Holdings,mid-market,finance,60629.1,data_migration,2023-03-27,3,1,Monday,60,13,4,4,1.0,0,1,1,38,0.8105,1,critical
INV-00109,Birch Holdings,mid-market,finance,53232.01,reporting_setup,2023-11-17,11,4,Friday,45,12,5,5,1.0,0,1,1,11,0.8094,1,critical
INV-00442,Echo Ventures,small,retail,11315.95,analytics_consulting,2023-10-03,10,4,Tuesday,60,8,3,1,0.33,1,2,1,40,0.8093,1,critical
INV-01304,Horizon LLC,small,technology,6495.11,data_migration,2023-03-06,3,1,Monday,60,8,7,5,0.71,0,3,1,61,0.8091,1,critical
INV-01106,Ironclad Inc,mid-market,healthcare,19087.99,analytics_consulting,2024-11-05,11,4,Tuesday,60,11,12,6,0.5,0,1,1,14,0.8082,1,critical
INV-01781,Jade Consulting,small,professional_services,12085.26,analytics_consulting,2024-10-22,10,4,Tuesday,60,12,5,5,1.0,1,5,1,85,0.808,1,critical
INV-01395,Jade Consulting,small,professional_services,4800.64,process_automation,2023-05-24,5,2,Wednesday,60,1,8,7,0.88,1,4,1,60,0.8076,1,critical
INV-01779,Jade Consulting,small,professional_services,11884.73,analytics_consulting,2023-11-05,11,4,Sunday,15,7,13,8,0.62,0,1,1,22,0.8069,1,critical
INV-00326,Echo Ventures,small,retail,3524.05,process_automation,2024-11-02,11,4,Saturday,30,8,2,2,1.0,0,3,1,4,0.8063,1,critical
INV-00545,Echo Ventures,small,retail,7724.97,training,2024-11-01,11,4,Friday,60,8,24,3,0.12,0,2,1,2,0.8058,1,critical
INV-00846,Jade Consulting,small,professional_services,7165.77,training,2024-11-04,11,4,Monday,30,5,11,6,0.55,1,5,1,35,0.8057,1,critical
INV-00464,Cedar Solutions,small,technology,6301.35,data_migration,2023-04-07,4,2,Friday,60,5,9,5,0.56,0,2,1,39,0.8055,1,critical
INV-00424,Jade Consulting,small,professional_services,8233.4,process_automation,2023-12-18,12,4,Monday,30,7,14,5,0.36,1,4,1,24,0.8051,1,critical
INV-01383,Echo Ventures,small,retail,4458.35,analytics_consulting,2024-05-05,5,2,Sunday,30,7,2,1,0.5,1,2,1,21,0.8049,1,critical
INV-00318,Ironclad Inc,mid-market,healthcare,56122.01,data_migration,2023-06-12,6,2,Monday,45,13,5,4,0.8,0,1,1,26,0.804,1,critical
INV-01930,Delta Group,enterprise,healthcare,96679.08,training,2023-12-09,12,4,Saturday,45,9,2,1,0.5,0,1,1,72,0.8033,1,critical
INV-00387,Echo Ventures,small,retail,3872.9,training,2024-05-13,5,2,Monday,15,3,9,2,0.22,0,2,1,81,0.803,1,critical
INV-00655,Ironclad Inc,mid-market,healthcare,68944.91,training,2024-10-24,10,4,Thursday,30,15,7,4,0.57,0,2,1,80,0.8022,1,critical
INV-00035,Echo Ventures,small,retail,10673.49,training,2023-12-26,12,4,Tuesday,60,11,1,0,0.0,0,3,1,34,0.8019,1,critical
INV-00237,Cedar Solutions,small,technology,2911.42,data_migration,2023-12-20,12,4,Wednesday,60,14,3,0,0.0,0,2,1,44,0.8003,1,critical
INV-00307,Birch Holdings,mid-market,finance,41791.29,reporting_setup,2023-11-12,11,4,Sunday,60,9,3,3,1.0,1,4,1,58,0.7996,1,critical
INV-01356,Delta Group,enterprise,healthcare,48312.59,analytics_consulting,2023-07-27,7,3,Thursday,45,13,1,1,1.0,1,1,1,86,0.799,1,critical
INV-01274,Horizon LLC,small,technology,10628.56,training,2023-11-20,11,4,Monday,15,3,3,0,0.0,1,1,1,12,0.7989,1,critical
INV-01768,Jade Consulting,small,professional_services,9272.17,process_automation,2023-05-27,5,2,Saturday,45,13,10,7,0.7,1,2,1,36,0.7983,1,critical
INV-00959,Echo Ventures,small,retail,2576.86,process_automation,2023-11-21,11,4,Tuesday,60,11,16,0,0.0,1,4,1,83,0.7981,1,critical
INV-00780,Horizon LLC,small,technology,6645.6,data_migration,2023-01-28,1,1,Saturday,60,13,7,6,0.86,1,3,1,18,0.7981,1,critical
INV-01358,Horizon LLC,small,technology,3827.64,analytics_consulting,2024-05-05,5,2,Sunday,15,3,5,5,1.0,1,5,1,9,0.7977,1,critical
INV-00139,Cedar Solutions,small,technology,9807.2,reporting_setup,2024-12-23,12,4,Monday,60,3,1,1,1.0,1,2,1,78,0.7975,1,critical
INV-00079,Cedar Solutions,small,technology,7109.12,process_automation,2024-05-25,5,2,Saturday,45,16,16,3,0.19,0,2,1,77,0.7972,1,critical
INV-01599,Delta Group,enterprise,healthcare,198631.23,training,2023-01-06,1,1,Friday,60,3,7,7,1.0,1,1,1,7,0.797,1,critical
INV-00854,Birch Holdings,mid-market,finance,62542.55,training,2023-10-20,10,4,Friday,60,1,14,8,0.57,0,2,1,66,0.7951,1,critical
INV-00302,Jade Consulting,small,professional_services,7592.38,analytics_consulting,2024-10-28,10,4,Monday,30,2,10,0,0.0,1,1,1,22,0.7949,1,critical
INV-00904,Lumen Analytics,mid-market,technology,28639.99,reporting_setup,2023-12-12,12,4,Tuesday,15,5,2,2,1.0,1,2,1,2,0.7943,1,critical
INV-01183,Delta Group,enterprise,healthcare,29589.29,analytics_consulting,2023-11-12,11,4,Sunday,15,2,5,4,0.8,1,1,1,41,0.7937,1,critical
INV-01601,Lumen Analytics,mid-market,technology,17326.12,data_migration,2024-11-20,11,4,Wednesday,15,13,4,1,0.25,0,1,1,5,0.7933,1,critical
INV-01160,Birch Holdings,mid-market,finance,61351.05,data_migration,2024-07-03,7,3,Wednesday,45,3,7,7,1.0,1,1,1,13,0.7933,1,critical
INV-00405,Delta Group,enterprise,healthcare,88397.21,process_automation,2024-12-05,12,4,Thursday,60,5,14,4,0.29,1,5,1,47,0.7916,1,critical
INV-01458,Echo Ventures,small,retail,3890.31,process_automation,2023-05-25,5,2,Thursday,45,1,16,8,0.5,1,4,1,83,0.7913,1,critical
INV-01031,Echo Ventures,small,retail,3178.14,training,2024-10-30,10,4,Wednesday,15,11,9,2,0.22,0,1,1,60,0.7898,1,critical
INV-00508,Ironclad Inc,mid-market,healthcare,70306.35,reporting_setup,2023-12-10,12,4,Sunday,60,2,17,4,0.24,0,3,1,3,0.7883,1,critical
INV-01730,Ironclad Inc,mid-market,healthcare,53043.8,analytics_consulting,2023-10-01,10,4,Sunday,30,10,10,5,0.5,0,1,1,63,0.7882,1,critical
INV-00931,Falcon Industries,mid-market,manufacturing,44006.04,training,2023-12-27,12,4,Wednesday,60,11,4,1,0.25,0,3,1,77,0.7882,1,critical
INV-00131,Falcon Industries,mid-market,manufacturing,74998.48,analytics_consulting,2024-05-12,5,2,Sunday,30,5,3,2,0.67,0,1,1,70,0.788,1,critical
INV-01374,Echo Ventures,small,retail,4475.91,analytics_consulting,2024-03-16,3,1,Saturday,30,9,18,5,0.28,0,2,1,75,0.7874,1,critical
INV-01557,Cedar Solutions,small,technology,2200.27,analytics_consulting,2024-11-29,11,4,Friday,45,9,1,1,1.0,0,4,1,80,0.7871,1,critical
INV-00969,Horizon LLC,small,technology,6251.42,training,2024-11-08,11,4,Friday,60,4,18,1,0.06,1,2,1,65,0.7869,1,critical
INV-01234,Horizon LLC,small,technology,4405.26,analytics_consulting,2024-03-17,3,1,Sunday,60,15,10,8,0.8,0,3,1,73,0.7863,1,critical
INV-00396,Birch Holdings,mid-market,finance,62726.22,analytics_consulting,2024-11-07,11,4,Thursday,60,4,16,7,0.44,0,5,1,53,0.7859,1,critical
INV-00761,Echo Ventures,small,retail,4607.4,training,2024-03-31,3,1,Sunday,45,2,15,8,0.53,0,4,1,56,0.7855,1,critical
INV-01879,Echo Ventures,small,retail,4284.48,training,2024-04-14,4,2,Sunday,45,4,13,4,0.31,0,5,1,38,0.785,1,critical
INV-00861,Cedar Solutions,small,technology,1593.29,data_migration,2024-02-25,2,1,Sunday,60,9,8,7,0.88,1,3,1,24,0.7847,1,critical
INV-00562,Keystone Retail,enterprise,retail,81278.23,training,2024-08-12,8,3,Monday,30,7,2,2,1.0,1,1,1,19,0.7845,1,critical
INV-00022,Echo Ventures,small,retail,10903.99,process_automation,2024-04-10,4,2,Wednesday,60,16,5,1,0.2,1,1,1,70,0.784,1,critical
INV-01778,Horizon LLC,small,technology,2387.12,analytics_consulting,2024-11-29,11,4,Friday,30,6,11,7,0.64,0,2,1,4,0.7836,1,critical
INV-01890,Keystone Retail,enterprise,retail,168237.54,reporting_setup,2023-12-18,12,4,Monday,60,12,6,2,0.33,0,4,1,17,0.7827,1,critical
INV-00389,Ironclad Inc,mid-market,healthcare,35512.39,analytics_consulting,2024-04-28,4,2,Sunday,45,10,5,3,0.6,0,1,1,65,0.7824,1,critical
INV-00012,Keystone Retail,enterprise,retail,101083.92,data_migration,2023-12-15,12,4,Friday,45,15,1,1,1.0,0,2,1,14,0.782,1,critical
INV-01379,Horizon LLC,small,technology,5848.08,training,2024-03-23,3,1,Saturday,45,16,17,6,0.35,0,5,1,19,0.7813,1,critical
INV-00745,Echo Ventures,small,retail,11282.41,reporting_setup,2023-12-30,12,4,Saturday,60,15,6,1,0.17,1,1,1,40,0.7813,1,critical
INV-00610,Lumen Analytics,mid-market,technology,67832.22,analytics_consulting,2024-01-07,1,1,Sunday,60,11,6,5,0.83,1,1,1,89,0.7795,1,critical
INV-00391,Cedar Solutions,small,technology,4454.06,process_automation,2024-05-10,5,2,Friday,15,16,8,1,0.12,1,2,1,27,0.7791,1,critical
INV-01982,Echo Ventures,small,retail,8219.74,process_automation,2024-06-29,6,2,Saturday,15,14,14,5,0.36,1,3,1,6,0.7783,1,critical
INV-01157,Birch Holdings,mid-market,finance,27645.78,training,2023-12-04,12,4,Monday,15,3,2,1,0.5,0,2,1,24,0.7773,1,critical
INV-00111,Granite Partners,enterprise,finance,86538.08,process_automation,2023-02-22,2,1,Wednesday,45,7,5,5,1.0,1,1,1,72,0.7771,1,critical
INV-01323,Horizon LLC,small,technology,4261.97,training,2024-09-09,9,3,Monday,60,4,2,1,0.5,0,2,1,73,0.777,1,critical
INV-00384,Horizon LLC,small,technology,10562.49,process_automation,2023-12-05,12,4,Tuesday,30,8,4,2,0.5,0,2,1,58,0.7766,1,critical
INV-01337,Falcon Industries,mid-market,manufacturing,58990.72,reporting_setup,2024-01-03,1,1,Wednesday,60,6,2,1,0.5,0,2,1,70,0.7765,1,critical
INV-00709,Horizon LLC,small,technology,14244.94,data_migration,2024-04-29,4,2,Monday,30,12,4,4,1.0,0,1,1,74,0.7747,1,critical
INV-01350,Falcon Industries,mid-market,manufacturing,72956.71,data_migration,2024-03-12,3,1,Tuesday,30,3,7,7,1.0,0,1,1,84,0.7743,1,critical
INV-00716,Ironclad Inc,mid-market,healthcare,58786.31,data_migration,2024-08-13,8,3,Tuesday,30,1,4,4,1.0,1,1,1,27,0.7737,1,critical
INV-00706,Birch Holdings,mid-market,finance,67753.1,data_migration,2023-04-05,4,2,Wednesday,60,16,7,7,1.0,1,5,1,72,0.7737,1,critical
INV-00980,Jade Consulting,small,professional_services,10758.09,data_migration,2024-05-10,5,2,Friday,45,1,5,3,0.6,0,2,1,4,0.7727,1,critical
INV-00683,Birch Holdings,mid-market,finance,72651.35,analytics_consulting,2023-06-20,6,2,Tuesday,60,16,1,1,1.0,0,2,1,51,0.7726,1,critical
INV-00423,Acme Corp,enterprise,manufacturing,126676.44,analytics_consulting,2024-11-21,11,4,Thursday,60,11,12,4,0.33,1,3,1,61,0.7725,1,critical
INV-01818,Granite Partners,enterprise,finance,124150.37,analytics_consulting,2023-03-07,3,1,Tuesday,30,1,5,5,1.0,0,1,1,15,0.7724,1,critical
INV-01447,Acme Corp,enterprise,manufacturing,119843.77,process_automation,2024-04-25,4,2,Thursday,60,9,6,4,0.67,0,2,1,22,0.772,1,critical
INV-00342,Delta Group,enterprise,healthcare,53065.38,reporting_setup,2024-01-02,1,1,Tuesday,45,16,7,7,1.0,1,1,1,12,0.7713,1,critical
INV-01589,Falcon Industries,mid-market,manufacturing,61307.86,process_automation,2024-10-30,10,4,Wednesday,30,7,11,8,0.73,0,3,1,63,0.7702,1,critical
INV-00159,Keystone Retail,enterprise,retail,100708.2,analytics_consulting,2024-08-24,8,3,Saturday,30,2,4,4,1.0,1,2,1,29,0.7694,1,critical
INV-01711,Birch Holdings,mid-market,finance,73531.27,data_migration,2024-02-28,2,1,Wednesday,30,7,10,8,0.8,1,1,1,43,0.7685,1,critical
INV-00568,Horizon LLC,small,technology,10546.93,analytics_consulting,2024-05-24,5,2,Friday,30,2,2,2,1.0,1,2,1,43,0.7684,1,critical
INV-01794,Horizon LLC,small,technology,4894.27,process_automation,2023-02-16,2,1,Thursday,45,3,6,5,0.83,0,3,1,35,0.768,1,critical
INV-00849,Jade Consulting,small,professional_services,10956.15,data_migration,2024-05-16,5,2,Thursday,45,10,18,4,0.22,0,1,1,50,0.7679,1,critical
INV-00367,Delta Group,enterprise,healthcare,160825.68,process_automation,2024-10-10,10,4,Thursday,30,7,10,7,0.7,1,1,1,23,0.767,1,critical
INV-01229,Jade Consulting,small,professional_services,11581.7,training,2024-02-14,2,1,Wednesday,60,12,9,6,0.67,1,2,1,46,0.767,1,critical
INV-01148,Jade Consulting,small,professional_services,7074.06,analytics_consulting,2023-04-25,4,2,Tuesday,45,11,5,1,0.2,0,2,1,43,0.7663,1,critical
INV-01113,Cedar Solutions,small,technology,2717.25,analytics_consulting,2023-08-30,8,3,Wednesday,60,8,5,5,1.0,0,3,1,21,0.766,1,critical
INV-01972,Echo Ventures,small,retail,10084.95,data_migration,2023-06-03,6,2,Saturday,30,1,3,2,0.67,1,2,1,53,0.7656,1,critical
INV-00337,Cedar Solutions,small,technology,11626.56,reporting_setup,2023-12-17,12,4,Sunday,45,6,13,0,0.0,1,2,1,3,0.765,1,critical
INV-01703,Granite Partners,enterprise,finance,55043.49,data_migration,2023-10-09,10,4,Monday,60,5,9,7,0.78,0,5,1,72,0.765,1,critical
INV-01902,Jade Consulting,small,professional_services,4623.47,data_migration,2023-07-28,7,3,Friday,45,1,8,3,0.38,1,2,1,9,0.7647,1,critical
INV-01554,Ironclad Inc,mid-market,healthcare,70703.78,analytics_consulting,2024-11-03,11,4,Sunday,15,15,9,6,0.67,0,5,1,81,0.7638,1,critical
INV-01117,Acme Corp,enterprise,manufacturing,185052.55,training,2024-09-17,9,3,Tuesday,60,8,5,3,0.6,1,2,1,12,0.7635,1,critical
INV-01032,Acme Corp,enterprise,manufacturing,96506.91,reporting_setup,2024-01-03,1,1,Wednesday,30,3,9,8,0.89,1,1,1,34,0.7632,1,critical
INV-00211,Lumen Analytics,mid-market,technology,20935.19,reporting_setup,2024-10-19,10,4,Saturday,60,12,6,1,0.17,0,4,1,70,0.7622,1,critical
INV-01203,Echo Ventures,small,retail,10170.95,process_automation,2023-03-06,3,1,Monday,60,5,4,1,0.25,0,1,1,38,0.7611,1,critical
INV-00914,Falcon Industries,mid-market,manufacturing,28904.7,analytics_consulting,2024-04-03,4,2,Wednesday,45,14,2,2,1.0,0,4,1,79,0.7609,1,critical
INV-01143,Cedar Solutions,small,technology,3865.35,process_automation,2024-04-13,4,2,Saturday,30,7,11,2,0.18,1,1,1,60,0.7603,1,critical
INV-01181,Ironclad Inc,mid-market,healthcare,36095.29,reporting_setup,2024-12-10,12,4,Tuesday,15,10,1,1,1.0,1,2,1,20,0.7598,1,critical
INV-01162,Horizon LLC,small,technology,14895.21,analytics_consulting,2024-10-20,10,4,Sunday,60,9,14,4,0.29,0,2,1,62,0.7596,1,critical
INV-01980,Acme Corp,enterprise,manufacturing,29118.04,reporting_setup,2023-09-28,9,3,Thursday,60,3,5,4,0.8,1,2,1,4,0.7596,1,critical
INV-01631,Birch Holdings,mid-market,finance,68554.11,process_automation,2023-08-29,8,3,Tuesday,60,4,3,3,1.0,0,5,1,76,0.7594,1,critical
INV-00836,Keystone Retail,enterprise,retail,176356.76,data_migration,2024-01-20,1,1,Saturday,60,13,9,7,0.78,1,1,1,16,0.7592,1,critical
INV-01131,Cedar Solutions,small,technology,1568.19,process_automation,2024-11-25,11,4,Monday,45,7,1,1,1.0,0,3,1,77,0.7591,1,critical
INV-01370,Echo Ventures,small,retail,1544.11,reporting_setup,2023-05-08,5,2,Monday,60,7,9,7,0.78,0,5,1,36,0.759,1,critical
INV-00990,Horizon LLC,small,technology,7823.11,process_automation,2024-12-11,12,4,Wednesday,45,14,15,6,0.4,0,4,1,72,0.758,1,critical
INV-00589,Horizon LLC,small,technology,13626.81,process_automation,2024-04-13,4,2,Saturday,30,10,6,6,1.0,1,4,1,37,0.7577,1,critical
INV-01349,Ironclad Inc,mid-market,healthcare,48067.97,data_migration,2024-10-31,10,4,Thursday,45,16,6,3,0.5,1,2,1,77,0.7573,1,critical
INV-00746,Jade Consulting,small,professional_services,5701.04,training,2024-03-22,3,1,Friday,45,5,5,3,0.6,1,3,1,2,0.7572,1,critical
INV-00728,Falcon Industries,mid-market,manufacturing,72334.52,analytics_consulting,2023-12-16,12,4,Saturday,60,11,1,0,0.0,0,1,1,1,0.7572,1,critical
INV-01393,Cedar Solutions,small,technology,12365.32,reporting_setup,2024-05-30,5,2,Thursday,30,7,3,2,0.67,0,1,1,53,0.7572,1,critical
INV-00257,Horizon LLC,small,technology,4231.3,data_migration,2024-04-12,4,2,Friday,60,5,21,4,0.19,1,3,1,47,0.7568,1,critical
INV-01876,Horizon LLC,small,technology,7211.19,training,2023-05-27,5,2,Saturday,60,10,3,3,1.0,0,4,1,72,0.7561,1,critical
INV-00199,Delta Group,enterprise,healthcare,73238.7,process_automation,2024-04-16,4,2,Tuesday,30,4,2,2,1.0,1,1,1,9,0.7558,1,critical
INV-00628,Horizon LLC,small,technology,10411.06,training,2023-04-23,4,2,Sunday,60,16,16,8,0.5,0,5,1,34,0.7546,1,critical
