consultant_id,week_start,week_end,project_id,billable_hours,internal_hours,admin_hours,pto_hours,total_hours
C029,2024-04-08,2024-04-12,,0.0,13.7,2.0,0.0,15.7
C030,2024-04-08,2024-04-12,,0.0,13.4,3.5,0.0,16.9
C031,2024-04-08,2024-04-12,,0.0,13.3,2.5,24.0,39.8
C033,2024-04-08,2024-04-12,,0.0,13.6,4.2,0.0,17.8
C034,2024-04-08,2024-04-12,,0.0,11.0,5.0,0.0,16.0
C001,2024-04-15,2024-04-19,,0.0,10.4,2.8,0.0,13.2
C004,2024-04-15,2024-04-19,,0.0,10.6,3.8,0.0,14.4
C005,2024-04-15,2024-04-19,,0.0,13.9,4.6,0.0,18.5
C006,2024-04-15,2024-04-19,,0.0,13.0,2.4,0.0,15.4
C008,2024-04-15,2024-04-19,,0.0,9.2,2.2,0.0,11.4
C010,2024-04-15,2024-04-19,,0.0,14.1,3.8,0.0,17.9
C011,2024-04-15,2024-04-19,,0.0,11.2,2.6,0.0,13.8
C012,2024-04-15,2024-04-19,,0.0,14.9,5.5,0.0,20.4
C014,2024-04-15,2024-04-19,,0.0,11.7,4.2,0.0,15.9
C016,2024-04-15,2024-04-19,,0.0,9.1,3.9,0.0,13.0
C020,2024-04-15,2024-04-19,,0.0,11.5,5.3,0.0,16.8
C023,2024-04-15,2024-04-19,,0.0,15.3,3.8,0.0,19.1
C025,2024-04-15,2024-04-19,,0.0,14.7,3.1,0.0,17.8
C026,2024-04-15,2024-04-19,,0.0,9.9,3.8,0.0,13.7
C029,2024-04-15,2024-04-19,,0.0,8.6,2.6,0.0,11.2
C030,2024-04-15,2024-04-19,,0.0,9.7,3.7,0.0,13.4
C031,2024-04-15,2024-04-19,,0.0,0.0,0.0,40.0,40.0
C033,2024-04-15,2024-04-19,,0.0,15.6,2.1,0.0,17.7
C034,2024-04-15,2024-04-19,,0.0,10.4,3.6,0.0,14.0
C001,2024-04-22,2024-04-26,,0.0,12.3,4.9,0.0,17.2
C004,2024-04-22,2024-04-26,,0.0,11.9,3.6,0.0,15.5
C005,2024-04-22,2024-04-26,,0.0,13.8,5.4,0.0,19.2
C006,2024-04-22,2024-04-26,,0.0,12.7,4.7,0.0,17.4
C008,2024-04-22,2024-04-26,,0.0,0.0,0.0,40.0,40.0
C010,2024-04-22,2024-04-26,,0.0,0.0,0.0,40.0,40.0
C011,2024-04-22,2024-04-26,,0.0,10.7,5.5,0.0,16.2
C012,2024-04-22,2024-04-26,,0.0,11.8,5.0,0.0,16.8
C014,2024-04-22,2024-04-26,,0.0,8.5,5.8,24.0,38.3
C016,2024-04-22,2024-04-26,,0.0,13.0,3.0,0.0,16.0
C020,2024-04-22,2024-04-26,,0.0,15.6,3.9,0.0,19.5
C023,2024-04-22,2024-04-26,,0.0,13.7,5.1,0.0,18.8
C025,2024-04-22,2024-04-26,,0.0,12.6,5.7,0.0,18.3
C026,2024-04-22,2024-04-26,,0.0,9.6,4.4,0.0,14.0
C029,2024-04-22,2024-04-26,,0.0,13.6,3.2,0.0,16.8
C030,2024-04-22,2024-04-26,,0.0,8.3,4.1,0.0,12.4
C031,2024-04-22,2024-04-26,,0.0,13.2,2.1,0.0,15.3
C033,2024-04-22,2024-04-26,,0.0,15.1,3.8,0.0,18.9
C034,2024-04-22,2024-04-26,,0.0,12.2,4.6,0.0,16.8
C001,2024-04-29,2024-05-03,P011,27.3,2.6,1.1,0.0,31.0
C004,2024-04-29,2024-05-03,P011,25.2,2.2,1.7,0.0,29.1
C005,2024-04-29,2024-05-03,P011,11.9,2.8,1.1,24.0,39.8
C006,2024-04-29,2024-05-03,P011,30.3,3.8,1.8,0.0,35.9
C008,2024-04-29,2024-05-03,P011,35.1,4.5,2.1,0.0,41.7
C010,2024-04-29,2024-05-03,P011,35.6,2.5,1.5,0.0,39.6
C011,2024-04-29,2024-05-03,P011,34.2,3.1,2.4,0.0,39.7
C012,2024-04-29,2024-05-03,P011,38.7,2.5,1.1,0.0,42.3
C014,2024-04-29,2024-05-03,P011,30.6,2.0,2.3,0.0,34.9
C016,2024-04-29,2024-05-03,P011,25.4,5.9,2.6,0.0,33.9
C020,2024-04-29,2024-05-03,P011,27.7,2.4,2.9,0.0,33.0
C023,2024-04-29,2024-05-03,P011,32.4,4.2,2.4,0.0,39.0
C025,2024-04-29,2024-05-03,P011,29.3,1.9,0.6,0.0,31.8
C026,2024-04-29,2024-05-03,P011,33.2,3.0,0.7,0.0,36.9
C029,2024-04-29,2024-05-03,P011,33.1,1.4,1.1,0.0,35.6
C030,2024-04-29,2024-05-03,P011,17.0,4.9,1.5,0.0,23.4
C031,2024-04-29,2024-05-03,P011,36.8,4.0,2.4,0.0,43.2
C033,2024-04-29,2024-05-03,P011,16.2,2.3,0.7,0.0,19.2
C034,2024-04-29,2024-05-03,P011,31.5,2.5,1.1,0.0,35.1
C001,2024-05-06,2024-05-10,P011,23.7,5.6,2.5,0.0,31.8
C001,2024-05-06,2024-05-10,P005,15.4,4.1,2.2,0.0,21.7
C004,2024-05-06,2024-05-10,P011,35.0,5.1,0.7,0.0,40.8
C005,2024-05-06,2024-05-10,P011,31.1,3.2,1.7,0.0,36.0
C006,2024-05-06,2024-05-10,P011,31.4,1.4,0.6,0.0,33.4
C008,2024-05-06,2024-05-10,P011,37.8,1.1,1.1,0.0,40.0
C010,2024-05-06,2024-05-10,P011,29.2,3.9,2.4,0.0,35.5
C011,2024-05-06,2024-05-10,P011,26.9,5.6,1.0,0.0,33.5
C012,2024-05-06,2024-05-10,P011,27.9,3.0,1.3,0.0,32.2
C014,2024-05-06,2024-05-10,P011,28.3,4.5,1.2,0.0,34.0
C016,2024-05-06,2024-05-10,P011,35.7,2.3,0.8,0.0,38.8
C020,2024-05-06,2024-05-10,P005,13.8,1.9,1.4,0.0,17.1
C020,2024-05-06,2024-05-10,P011,12.5,4.8,2.1,0.0,19.4
C021,2024-05-06,2024-05-10,P011,7.9,5.9,2.0,0.0,15.8
C021,2024-05-06,2024-05-10,P005,10.3,2.2,0.9,0.0,13.4
C023,2024-05-06,2024-05-10,P005,26.1,2.1,2.6,0.0,30.8
C025,2024-05-06,2024-05-10,P011,36.1,3.5,1.2,0.0,40.8
C026,2024-05-06,2024-05-10,P005,22.1,2.9,2.8,0.0,27.8
C026,2024-05-06,2024-05-10,P011,17.0,3.5,2.7,0.0,23.2
C029,2024-05-06,2024-05-10,P011,36.1,5.1,1.2,0.0,42.4
C030,2024-05-06,2024-05-10,P011,15.6,5.3,1.6,0.0,22.5
C031,2024-05-06,2024-05-10,P011,30.4,5.3,3.0,0.0,38.7
C032,2024-05-06,2024-05-10,P011,24.4,1.2,2.4,0.0,28.0
C033,2024-05-06,2024-05-10,P005,16.0,3.5,0.6,0.0,20.1
C034,2024-05-06,2024-05-10,P005,24.2,5.4,1.6,0.0,31.2
C001,2024-05-13,2024-05-17,P005,29.6,1.4,2.5,0.0,33.5
C003,2024-05-13,2024-05-17,P011,33.3,4.2,2.6,0.0,40.1
C004,2024-05-13,2024-05-17,P011,36.0,5.4,0.6,0.0,42.0
C005,2024-05-13,2024-05-17,P005,7.4,4.8,2.3,24.0,38.5
C005,2024-05-13,2024-05-17,P011,3.2,1.5,0.9,0.0,5.6
C006,2024-05-13,2024-05-17,P011,32.5,2.9,0.9,0.0,36.3
C008,2024-05-13,2024-05-17,P005,34.9,1.8,0.7,0.0,37.4
C010,2024-05-13,2024-05-17,P005,19.7,2.3,1.1,0.0,23.1
C010,2024-05-13,2024-05-17,P011,16.9,1.0,2.5,0.0,20.4
C011,2024-05-13,2024-05-17,P005,30.0,1.4,2.9,0.0,34.3
C012,2024-05-13,2024-05-17,P011,36.2,5.2,1.0,0.0,42.4
C014,2024-05-13,2024-05-17,P005,30.9,2.9,1.4,0.0,35.2
C016,2024-05-13,2024-05-17,,0.0,0.0,0.0,40.0,40.0
C020,2024-05-13,2024-05-17,P005,34.7,5.6,2.4,0.0,42.7
C021,2024-05-13,2024-05-17,P011,22.3,2.1,1.0,0.0,25.4
C023,2024-05-13,2024-05-17,P005,14.3,4.2,1.3,0.0,19.8
C023,2024-05-13,2024-05-17,P011,7.0,3.2,1.9,0.0,12.1
C025,2024-05-13,2024-05-17,P005,12.6,3.7,2.9,0.0,19.2
C025,2024-05-13,2024-05-17,P011,16.0,3.7,2.8,0.0,22.5
C026,2024-05-13,2024-05-17,P011,31.1,5.8,1.2,0.0,38.1
C027,2024-05-13,2024-05-17,P005,23.0,5.3,2.3,0.0,30.6
C029,2024-05-13,2024-05-17,P011,18.3,1.1,1.8,0.0,21.2
C029,2024-05-13,2024-05-17,P005,10.4,3.3,2.2,0.0,15.9
C030,2024-05-13,2024-05-17,P005,8.4,4.1,2.9,0.0,15.4
C030,2024-05-13,2024-05-17,P011,7.1,2.6,2.0,0.0,11.7
C031,2024-05-13,2024-05-17,P011,29.3,5.5,1.3,0.0,36.1
C032,2024-05-13,2024-05-17,P011,22.2,1.6,1.1,0.0,24.9
C033,2024-05-13,2024-05-17,P011,19.2,4.4,2.4,0.0,26.0
C034,2024-05-13,2024-05-17,P011,35.1,4.3,2.6,0.0,42.0
C001,2024-05-20,2024-05-24,P011,19.8,2.1,1.6,0.0,23.5
C001,2024-05-20,2024-05-24,P005,12.8,2.2,1.4,0.0,16.4
C003,2024-05-20,2024-05-24,P005,37.8,3.0,1.0,0.0,41.8
C004,2024-05-20,2024-05-24,P011,18.4,4.2,2.0,0.0,24.6
C004,2024-05-20,2024-05-24,P005,12.3,1.1,2.5,0.0,15.9
C005,2024-05-20,2024-05-24,P016,32.9,2.0,1.0,0.0,35.9
C006,2024-05-20,2024-05-24,P005,34.9,4.9,2.0,0.0,41.8
C008,2024-05-20,2024-05-24,P005,32.0,1.5,2.7,0.0,36.2
C010,2024-05-20,2024-05-24,P005,40.0,3.9,0.5,0.0,44.4
C011,2024-05-20,2024-05-24,P005,33.8,3.4,2.4,0.0,39.6
C012,2024-05-20,2024-05-24,P016,34.9,2.1,2.0,0.0,39.0
C014,2024-05-20,2024-05-24,P016,30.0,5.8,0.7,0.0,36.5
C016,2024-05-20,2024-05-24,P016,20.1,1.5,2.3,0.0,23.9
C020,2024-05-20,2024-05-24,P005,20.8,2.4,2.1,0.0,25.3
C021,2024-05-20,2024-05-24,P016,21.0,3.7,1.6,0.0,26.3
C023,2024-05-20,2024-05-24,P016,14.5,5.4,1.5,0.0,21.4
C023,2024-05-20,2024-05-24,P005,12.9,5.1,1.5,0.0,19.5
C025,2024-05-20,2024-05-24,P011,27.7,4.3,1.4,0.0,33.4
C026,2024-05-20,2024-05-24,P005,30.4,4.7,1.4,8.0,44.5
C027,2024-05-20,2024-05-24,P016,25.4,3.8,2.2,0.0,31.4
C029,2024-05-20,2024-05-24,P016,27.1,1.3,1.2,0.0,29.6
C030,2024-05-20,2024-05-24,P016,22.3,2.1,2.1,0.0,26.5
C031,2024-05-20,2024-05-24,P011,34.3,3.9,2.5,0.0,40.7
C032,2024-05-20,2024-05-24,P016,15.1,4.3,2.2,0.0,21.6
C032,2024-05-20,2024-05-24,P005,10.8,1.1,1.2,0.0,13.1
C033,2024-05-20,2024-05-24,P005,18.7,3.8,1.5,0.0,24.0
C034,2024-05-20,2024-05-24,P005,22.2,1.5,1.8,0.0,25.5
C001,2024-05-27,2024-05-31,P015,30.9,4.9,1.9,0.0,37.7
C003,2024-05-27,2024-05-31,P005,29.7,4.4,1.2,8.0,43.3
C004,2024-05-27,2024-05-31,P005,28.8,2.7,0.8,0.0,32.3
C005,2024-05-27,2024-05-31,P015,28.9,1.2,1.5,0.0,31.6
C006,2024-05-27,2024-05-31,P011,32.4,4.8,1.2,0.0,38.4
C008,2024-05-27,2024-05-31,P016,33.7,1.9,1.5,0.0,37.1
C010,2024-05-27,2024-05-31,P005,20.7,1.2,0.5,0.0,22.4
C010,2024-05-27,2024-05-31,P011,10.7,5.6,2.7,0.0,19.0
C011,2024-05-27,2024-05-31,P016,29.5,2.4,1.5,0.0,33.4
C012,2024-05-27,2024-05-31,P015,35.2,1.4,2.6,0.0,39.2
C014,2024-05-27,2024-05-31,P005,30.7,3.0,1.3,0.0,35.0
C016,2024-05-27,2024-05-31,P005,26.9,3.7,1.0,0.0,31.6
C017,2024-05-27,2024-05-31,P011,35.8,2.2,0.9,0.0,38.9
C019,2024-05-27,2024-05-31,P011,34.6,5.8,2.1,0.0,42.5
C020,2024-05-27,2024-05-31,P016,33.9,4.4,2.7,0.0,41.0
C021,2024-05-27,2024-05-31,P015,5.7,3.3,2.1,0.0,11.1
C021,2024-05-27,2024-05-31,P005,5.0,5.0,2.0,0.0,12.0
C023,2024-05-27,2024-05-31,P016,19.6,3.3,0.6,0.0,23.5
C024,2024-05-27,2024-05-31,P016,10.8,5.8,2.3,0.0,18.9
C024,2024-05-27,2024-05-31,P011,8.0,1.2,2.8,0.0,12.0
C025,2024-05-27,2024-05-31,P016,27.4,3.5,2.9,0.0,33.8
C026,2024-05-27,2024-05-31,P005,15.3,1.2,2.3,0.0,18.8
C026,2024-05-27,2024-05-31,P015,10.5,6.0,1.8,0.0,18.3
C027,2024-05-27,2024-05-31,P015,20.2,2.9,2.4,0.0,25.5
C029,2024-05-27,2024-05-31,P015,33.4,1.5,2.2,0.0,37.1
C030,2024-05-27,2024-05-31,P011,7.1,4.3,2.8,0.0,14.2
C030,2024-05-27,2024-05-31,P016,9.7,2.6,2.1,0.0,14.4
C031,2024-05-27,2024-05-31,P016,32.9,4.2,1.3,0.0,38.4
C032,2024-05-27,2024-05-31,P005,13.3,3.5,0.5,0.0,17.3
C032,2024-05-27,2024-05-31,P015,8.9,2.5,2.9,0.0,14.3
C033,2024-05-27,2024-05-31,P011,7.0,4.9,1.8,0.0,13.7
C033,2024-05-27,2024-05-31,P005,7.3,3.7,2.3,0.0,13.3
C034,2024-05-27,2024-05-31,P011,36.9,4.0,0.9,0.0,41.8
C001,2024-06-03,2024-06-07,P016,19.2,4.4,1.1,0.0,24.7
C001,2024-06-03,2024-06-07,P005,17.4,3.2,1.2,0.0,21.8
C002,2024-06-03,2024-06-07,P011,39.6,2.5,2.5,0.0,44.6
C003,2024-06-03,2024-06-07,P016,16.7,4.9,1.8,0.0,23.4
C003,2024-06-03,2024-06-07,P011,9.8,3.1,0.9,0.0,13.8
C004,2024-06-03,2024-06-07,P015,32.7,1.3,1.7,0.0,35.7
C005,2024-06-03,2024-06-07,P005,26.4,2.4,2.4,0.0,31.2
C006,2024-06-03,2024-06-07,P011,16.9,5.6,2.5,0.0,25.0
C006,2024-06-03,2024-06-07,P016,22.7,5.4,2.8,0.0,30.9
C007,2024-06-03,2024-06-07,P005,29.3,2.9,0.6,0.0,32.8
C008,2024-06-03,2024-06-07,P015,15.9,2.4,2.6,0.0,20.9
C008,2024-06-03,2024-06-07,P005,20.1,4.5,0.8,0.0,25.4
C010,2024-06-03,2024-06-07,P011,25.3,5.2,1.9,8.0,40.4
C011,2024-06-03,2024-06-07,P005,29.8,4.9,1.1,0.0,35.8
C012,2024-06-03,2024-06-07,P005,34.9,1.6,2.8,0.0,39.3
C014,2024-06-03,2024-06-07,P011,33.2,4.6,1.2,0.0,39.0
C016,2024-06-03,2024-06-07,P005,32.5,3.6,1.4,0.0,37.5
C017,2024-06-03,2024-06-07,P005,32.8,3.0,1.7,0.0,37.5
C019,2024-06-03,2024-06-07,P005,25.4,2.7,2.3,0.0,30.4
C020,2024-06-03,2024-06-07,P015,8.4,3.7,2.5,0.0,14.6
C020,2024-06-03,2024-06-07,P005,11.9,1.9,2.4,0.0,16.2
C021,2024-06-03,2024-06-07,P005,7.6,3.3,1.2,0.0,12.1
C021,2024-06-03,2024-06-07,P015,4.4,1.2,1.0,0.0,6.6
C023,2024-06-03,2024-06-07,P016,12.1,2.3,2.4,24.0,40.8
C024,2024-06-03,2024-06-07,P015,8.5,2.8,2.7,0.0,14.0
C024,2024-06-03,2024-06-07,P011,10.9,4.7,2.7,0.0,18.3
C025,2024-06-03,2024-06-07,P016,17.7,5.6,1.8,0.0,25.1
C025,2024-06-03,2024-06-07,P015,14.6,5.0,2.3,0.0,21.9
C026,2024-06-03,2024-06-07,P015,37.6,1.5,1.3,0.0,40.4
C027,2024-06-03,2024-06-07,P016,20.6,1.8,1.6,0.0,24.0
C029,2024-06-03,2024-06-07,P016,27.9,2.4,3.0,0.0,33.3
C030,2024-06-03,2024-06-07,P016,20.1,2.8,2.5,0.0,25.4
C031,2024-06-03,2024-06-07,P016,29.8,1.2,0.7,0.0,31.7
C032,2024-06-03,2024-06-07,P016,15.1,5.7,0.6,0.0,21.4
C033,2024-06-03,2024-06-07,P005,20.5,3.9,1.8,0.0,26.2
C034,2024-06-03,2024-06-07,P011,34.8,5.8,0.6,0.0,41.2
C001,2024-06-10,2024-06-14,P015,35.9,4.5,1.0,0.0,41.4
C002,2024-06-10,2024-06-14,P016,38.4,2.0,0.8,0.0,41.2
C003,2024-06-10,2024-06-14,P015,18.3,1.3,1.9,0.0,21.5
C003,2024-06-10,2024-06-14,P016,17.9,5.5,2.6,0.0,26.0
C004,2024-06-10,2024-06-14,P011,17.8,1.6,1.0,0.0,20.4
C004,2024-06-10,2024-06-14,P016,14.5,1.7,2.5,0.0,18.7
C005,2024-06-10,2024-06-14,P011,25.1,1.3,1.5,0.0,27.9
C005,2024-06-10,2024-06-14,P015,12.7,4.6,1.7,0.0,19.0
C006,2024-06-10,2024-06-14,P005,33.6,1.6,1.3,0.0,36.5
C007,2024-06-10,2024-06-14,P011,36.8,4.8,0.8,0.0,42.4
C008,2024-06-10,2024-06-14,P005,16.1,1.8,1.3,0.0,19.2
C008,2024-06-10,2024-06-14,P015,19.9,4.5,1.4,0.0,25.8
C009,2024-06-10,2024-06-14,P015,40.0,1.6,1.3,0.0,42.9
C010,2024-06-10,2024-06-14,P011,29.7,4.0,2.0,0.0,35.7
C011,2024-06-10,2024-06-14,P005,36.7,5.1,0.6,0.0,42.4
C012,2024-06-10,2024-06-14,P016,15.1,4.1,0.6,24.0,43.8
C014,2024-06-10,2024-06-14,P011,35.1,5.0,2.2,0.0,42.3
C016,2024-06-10,2024-06-14,P005,25.6,1.8,1.5,0.0,28.9
C017,2024-06-10,2024-06-14,P015,20.3,2.7,1.5,0.0,24.5
C017,2024-06-10,2024-06-14,P016,8.9,4.8,1.8,0.0,15.5
C019,2024-06-10,2024-06-14,P005,33.6,2.3,1.1,0.0,37.0
C020,2024-06-10,2024-06-14,P011,31.5,5.8,2.8,0.0,40.1
C021,2024-06-10,2024-06-14,P015,12.5,3.5,1.8,0.0,17.8
C021,2024-06-10,2024-06-14,P005,7.4,3.5,1.3,0.0,12.2
C022,2024-06-10,2024-06-14,P011,20.2,1.3,1.7,0.0,23.2
C022,2024-06-10,2024-06-14,P015,19.8,5.4,2.1,0.0,27.3
C023,2024-06-10,2024-06-14,P005,30.2,3.2,2.7,0.0,36.1
C024,2024-06-10,2024-06-14,P011,17.0,2.8,1.2,0.0,21.0
C025,2024-06-10,2024-06-14,P015,22.1,5.1,2.1,0.0,29.3
C026,2024-06-10,2024-06-14,P015,8.5,4.8,1.0,24.0,38.3
C026,2024-06-10,2024-06-14,P016,4.0,3.5,1.8,0.0,9.3
C027,2024-06-10,2024-06-14,P016,5.4,4.0,1.8,16.0,27.2
C027,2024-06-10,2024-06-14,P015,4.6,2.6,2.0,0.0,9.2
C029,2024-06-10,2024-06-14,P015,40.0,3.5,1.8,0.0,45.3
C030,2024-06-10,2024-06-14,P016,28.4,5.1,1.4,0.0,34.9
C031,2024-06-10,2024-06-14,P005,15.6,5.8,2.5,0.0,23.9
C031,2024-06-10,2024-06-14,P015,13.2,4.9,1.9,0.0,20.0
C032,2024-06-10,2024-06-14,P011,14.1,3.6,2.3,0.0,20.0
C033,2024-06-10,2024-06-14,P005,18.6,2.0,1.6,0.0,22.2
C034,2024-06-10,2024-06-14,P011,27.3,3.1,2.4,0.0,32.8
C001,2024-06-17,2024-06-21,P011,40.0,3.6,1.9,0.0,45.5
C002,2024-06-17,2024-06-21,P016,30.1,2.6,0.9,0.0,33.6
C003,2024-06-17,2024-06-21,P015,20.2,5.8,1.2,0.0,27.2
C003,2024-06-17,2024-06-21,P016,16.9,2.5,2.9,0.0,22.3
C004,2024-06-17,2024-06-21,P011,17.9,2.6,1.4,0.0,21.9
C004,2024-06-17,2024-06-21,P015,11.4,5.7,2.5,0.0,19.6
C005,2024-06-17,2024-06-21,P016,32.5,5.1,2.9,0.0,40.5
C006,2024-06-17,2024-06-21,P015,34.8,5.8,0.7,0.0,41.3
C007,2024-06-17,2024-06-21,P015,38.0,5.7,2.2,0.0,45.9
C008,2024-06-17,2024-06-21,P011,31.3,2.2,2.2,0.0,35.7
C009,2024-06-17,2024-06-21,,0.0,0.0,0.0,40.0,40.0
C010,2024-06-17,2024-06-21,P011,31.7,1.0,1.9,0.0,34.6
C011,2024-06-17,2024-06-21,P016,17.3,5.8,1.3,0.0,24.4
C011,2024-06-17,2024-06-21,P015,20.4,4.2,2.8,0.0,27.4
C012,2024-06-17,2024-06-21,P005,18.6,5.6,0.9,16.0,41.1
C014,2024-06-17,2024-06-21,P016,15.0,4.7,2.7,0.0,22.4
C014,2024-06-17,2024-06-21,P011,18.0,2.4,0.6,0.0,21.0
C016,2024-06-17,2024-06-21,P015,27.1,2.4,3.0,0.0,32.5
C017,2024-06-17,2024-06-21,P016,13.0,1.6,0.9,0.0,15.5
C017,2024-06-17,2024-06-21,P011,15.3,3.3,1.1,0.0,19.7
C018,2024-06-17,2024-06-21,P015,19.0,2.0,2.0,0.0,23.0
C018,2024-06-17,2024-06-21,P016,12.5,4.2,1.5,0.0,18.2
C019,2024-06-17,2024-06-21,P011,29.6,3.4,2.8,0.0,35.8
C020,2024-06-17,2024-06-21,,0.0,0.0,0.0,40.0,40.0
C021,2024-06-17,2024-06-21,P005,18.6,2.3,1.4,0.0,22.3
C022,2024-06-17,2024-06-21,P016,40.0,2.5,1.5,0.0,44.0
C023,2024-06-17,2024-06-21,P005,20.3,4.2,2.9,0.0,27.4
C024,2024-06-17,2024-06-21,P011,17.9,3.4,1.6,0.0,22.9
C025,2024-06-17,2024-06-21,P011,19.8,4.0,2.5,0.0,26.3
C025,2024-06-17,2024-06-21,P005,12.9,3.6,1.8,0.0,18.3
C026,2024-06-17,2024-06-21,P005,21.1,5.5,1.0,0.0,27.6
C026,2024-06-17,2024-06-21,P016,11.4,3.7,0.9,0.0,16.0
C027,2024-06-17,2024-06-21,P016,13.8,3.2,0.6,0.0,17.6
C027,2024-06-17,2024-06-21,P005,6.8,1.7,1.5,0.0,10.0
C028,2024-06-17,2024-06-21,P015,27.8,4.6,1.5,0.0,33.9
C029,2024-06-17,2024-06-21,P015,36.7,4.5,1.9,0.0,43.1
C030,2024-06-17,2024-06-21,P016,4.7,1.9,0.8,8.0,15.4
C030,2024-06-17,2024-06-21,P005,4.9,4.2,2.3,0.0,11.4
C031,2024-06-17,2024-06-21,P016,37.8,2.9,2.2,0.0,42.9
C032,2024-06-17,2024-06-21,P015,23.1,1.6,3.0,0.0,27.7
C033,2024-06-17,2024-06-21,P005,8.8,4.6,1.6,0.0,15.0
C033,2024-06-17,2024-06-21,P011,7.6,2.9,1.1,0.0,11.6
C034,2024-06-17,2024-06-21,P011,32.5,5.7,2.3,0.0,40.5
C001,2024-06-24,2024-06-28,P005,18.2,1.5,0.6,0.0,20.3
C001,2024-06-24,2024-06-28,P011,21.3,4.0,2.3,0.0,27.6
C002,2024-06-24,2024-06-28,P011,31.0,3.7,2.4,8.0,45.1
C003,2024-06-24,2024-06-28,P018,34.4,2.6,2.0,0.0,39.0
C004,2024-06-24,2024-06-28,P015,29.0,5.4,3.0,0.0,37.4
C005,2024-06-24,2024-06-28,P018,28.7,5.4,2.8,0.0,36.9
C006,2024-06-24,2024-06-28,P016,32.2,1.2,1.4,0.0,34.8
C007,2024-06-24,2024-06-28,P016,30.4,1.7,1.4,0.0,33.5
C008,2024-06-24,2024-06-28,P011,30.9,2.5,2.3,0.0,35.7
C009,2024-06-24,2024-06-28,P018,19.1,2.3,1.3,0.0,22.7
C009,2024-06-24,2024-06-28,P011,17.9,1.4,1.6,0.0,20.9
C010,2024-06-24,2024-06-28,P011,24.5,1.3,1.4,0.0,27.2
C011,2024-06-24,2024-06-28,P015,19.9,2.5,2.8,16.0,41.2
C012,2024-06-24,2024-06-28,P005,32.1,4.7,2.4,0.0,39.2
C013,2024-06-24,2024-06-28,P011,38.1,3.8,2.4,0.0,44.3
C014,2024-06-24,2024-06-28,P015,28.0,2.5,1.4,0.0,31.9
C015,2024-06-24,2024-06-28,P015,18.5,3.1,1.9,0.0,23.5
C015,2024-06-24,2024-06-28,P011,17.6,2.1,0.9,0.0,20.6
C016,2024-06-24,2024-06-28,P018,12.6,2.0,1.1,0.0,15.7
C016,2024-06-24,2024-06-28,P016,13.2,3.8,1.1,0.0,18.1
C017,2024-06-24,2024-06-28,P016,12.8,4.7,1.4,0.0,18.9
C017,2024-06-24,2024-06-28,P018,10.9,1.7,1.9,0.0,14.5
C018,2024-06-24,2024-06-28,P005,19.4,1.4,2.5,0.0,23.3
C018,2024-06-24,2024-06-28,P018,10.4,1.2,0.5,0.0,12.1
C019,2024-06-24,2024-06-28,P018,21.9,3.3,0.7,16.0,41.9
C020,2024-06-24,2024-06-28,P016,13.4,3.7,1.5,0.0,18.6
C020,2024-06-24,2024-06-28,P018,19.7,1.1,2.3,0.0,23.1
