client_id,client_name,service_type,revenue,invoice_date,region,status
C-1004,Pinnacle Software Solutions,Analytics,51348.07,2025-02-08,Midwest,overdue
C-1002,Summit Peak Athletics,Advisory,67067.42,2025-10-17,Midwest,pending
C-1009,Bridgeport Logistics,Training,30651.57,2025-11-28,West,pending
C-1006,Riverside Manufacturing Co,Implementation,76054.94,2025-11-22,South,pending
C-1009,Bridgeport Logistics,Training,24781.8,2025-11-30,South,overdue
C-1010,Evergreen Consulting Group,Support,29090.13,2025-05-18,West,paid
C-1008,Crestview Hospitality,Support,64414.29,2025-05-05,South,overdue
C-1001,Greenfield Organic Foods,Support,72703.61,2025-09-11,Midwest,paid
C-1006,Riverside Manufacturing Co,Analytics,75126.4,2025-05-24,West,overdue
C-1004,Pinnacle Software Solutions,Training,22411.87,2025-02-13,East,pending
C-1008,Crestview Hospitality,Implementation,67916.96,2025-08-18,South,paid
C-1005,Metro Health Partners,Training,50478.34,2025-12-06,Midwest,pending
C-1009,Bridgeport Logistics,Implementation,31524.37,2025-06-19,Midwest,pending
C-1002,Summit Peak Athletics,Implementation,28532.71,2025-04-09,East,overdue
C-1004,Pinnacle Software Solutions,Advisory,25311.22,2025-09-05,Midwest,overdue
C-1004,Pinnacle Software Solutions,Support,21267.36,2025-06-01,East,paid
C-1001,Greenfield Organic Foods,Advisory,48152.11,2025-01-28,South,overdue
C-1001,Greenfield Organic Foods,Advisory,25957.99,2025-10-21,East,pending
C-1005,Metro Health Partners,Analytics,11912.19,2025-09-02,West,paid
C-1001,Greenfield Organic Foods,Implementation,14808.8,2025-03-19,West,overdue
C-1002,Summit Peak Athletics,Analytics,65566.58,2025-10-13,East,overdue
C-1007,Beacon Financial Advisors,Support,77451.61,2025-08-19,South,pending
C-1010,Evergreen Consulting Group,Implementation,7469.0,2025-11-14,East,overdue
C-1005,Metro Health Partners,Implementation,9197.97,2025-12-05,West,paid
C-1001,Greenfield Organic Foods,Implementation,39666.56,2025-07-29,West,overdue
C-1005,Metro Health Partners,Support,25824.27,2025-12-28,East,pending
C-1010,Evergreen Consulting Group,Implementation,68822.22,2025-12-05,East,paid
C-1005,Metro Health Partners,Training,8391.31,2025-03-14,Midwest,paid
C-1002,Summit Peak Athletics,Analytics,59315.93,2025-08-28,Midwest,overdue
