company_size,industry,lead_source,website_visits,pages_per_session,email_opens,email_clicks,content_downloads,webinar_attended,demo_requested,days_since_first_touch,days_since_last_activity,converted
11-50,Professional Services,Event,5,5.5,1,1,3,1,0,134,34,0
1-10,Manufacturing,Direct,8,1.7,4,0,0,0,0,172,18,0
201-500,Financial Services,Organic Search,9,11.1,4,1,0,0,0,146,39,0
11-50,Education,Paid Ads,5,9.2,5,3,2,0,0,22,86,0
1000+,Technology,Paid Ads,6,8.6,2,2,2,0,0,30,19,0
11-50,Manufacturing,Social Media,5,8.5,1,1,0,1,0,148,50,0
1-10,Retail,Event,3,4.1,0,0,2,0,0,98,2,0
501-1000,Technology,Paid Ads,5,11.3,5,2,1,0,1,110,63,0
11-50,Manufacturing,Event,4,11.2,1,1,1,0,0,42,80,0
11-50,Professional Services,Social Media,3,9.1,3,0,1,0,0,90,88,0
51-200,Technology,Paid Ads,8,6.2,2,0,2,0,0,162,73,0
501-1000,Manufacturing,Social Media,3,1.5,2,0,4,0,0,88,60,0
11-50,Financial Services,Direct,1,1.3,1,0,1,1,0,124,52,0
11-50,Retail,Paid Ads,6,2.5,4,0,2,0,0,135,78,0
201-500,Technology,Paid Ads,5,7.6,5,1,1,0,0,166,0,0
1000+,Education,Social Media,4,9.8,3,1,1,1,0,38,21,0
51-200,Professional Services,Paid Ads,2,11.4,1,0,1,0,0,163,4,0
1-10,Technology,Organic Search,0,2.9,3,2,0,0,0,110,20,0
1-10,Financial Services,Direct,4,4.0,1,1,0,1,0,150,20,0
11-50,Manufacturing,Organic Search,3,1.6,2,1,3,1,0,47,39,0
1-10,Retail,Organic Search,9,11.9,8,0,5,0,0,22,62,1
201-500,Healthcare,Direct,4,9.6,3,1,1,0,0,16,79,1
1-10,Technology,Social Media,3,6.3,1,0,0,0,1,69,53,0
51-200,Technology,Paid Ads,2,7.3,4,0,3,0,0,99,3,0
201-500,Education,Paid Ads,5,7.2,5,1,4,0,1,52,8,1
51-200,Healthcare,Organic Search,2,3.8,3,3,5,0,1,49,39,0
11-50,Professional Services,Organic Search,2,3.0,5,1,1,1,0,147,55,0
501-1000,Manufacturing,Direct,2,4.3,3,2,3,0,0,133,74,0
201-500,Education,Organic Search,3,3.7,6,0,2,1,0,114,33,1
201-500,Technology,Organic Search,5,7.1,2,0,2,0,0,117,15,0
1-10,Technology,Event,4,4.4,1,1,2,0,0,152,12,1
1-10,Education,Direct,4,9.0,3,3,2,0,0,41,55,0
1000+,Education,Social Media,4,7.2,5,2,2,0,0,169,89,0
11-50,Financial Services,Organic Search,3,6.9,4,2,1,0,0,155,6,0
11-50,Healthcare,Paid Ads,8,11.5,5,1,0,0,1,62,0,0
51-200,Healthcare,Direct,3,4.5,4,3,1,1,0,63,0,0
201-500,Healthcare,Social Media,12,8.0,2,2,2,0,0,34,49,0
1000+,Technology,Event,6,1.0,1,1,4,0,0,127,28,0
11-50,Professional Services,Paid Ads,8,9.1,0,0,2,0,0,55,74,0
1000+,Financial Services,Event,4,6.5,2,0,1,1,1,48,72,0
1-10,Retail,Direct,4,3.3,1,1,2,0,0,121,45,0
51-200,Technology,Paid Ads,5,1.0,1,1,1,0,0,36,3,0
51-200,Technology,Paid Ads,5,8.8,3,1,2,1,0,21,51,1
1-10,Retail,Organic Search,4,8.3,4,0,2,0,1,154,32,0
1-10,Financial Services,Social Media,2,8.3,2,2,1,0,0,8,75,0
51-200,Retail,Organic Search,7,5.8,4,1,0,0,1,165,65,0
1000+,Technology,Paid Ads,6,8.0,6,1,3,0,0,123,86,1
51-200,Education,Social Media,4,7.3,3,1,0,0,1,64,33,0
1000+,Retail,Social Media,4,3.6,1,1,1,0,0,101,29,0
501-1000,Professional Services,Paid Ads,11,6.7,1,1,1,1,1,57,43,0
51-200,Technology,Direct,8,6.7,4,0,2,0,0,74,74,0
201-500,Financial Services,Organic Search,5,10.1,2,2,2,0,0,126,45,0
1-10,Healthcare,Referral,6,5.8,2,0,3,0,0,163,30,0
1-10,Manufacturing,Social Media,3,5.8,2,2,1,0,0,41,81,0
501-1000,Financial Services,Social Media,8,11.8,4,0,3,0,0,96,35,1
201-500,Technology,Social Media,3,10.8,6,0,1,0,0,155,78,0
11-50,Healthcare,Social Media,3,3.7,4,2,1,1,1,3,57,0
51-200,Financial Services,Event,5,11.0,4,3,1,0,0,2,5,1
51-200,Healthcare,Event,5,2.5,4,0,0,1,0,111,44,1
501-1000,Technology,Direct,6,10.4,1,1,1,0,0,26,62,0
51-200,Financial Services,Direct,11,3.0,3,2,2,0,0,178,82,1
51-200,Retail,Referral,4,5.7,2,2,0,0,0,22,48,0
11-50,Healthcare,Social Media,9,11.8,2,0,2,0,0,133,1,1
51-200,Financial Services,Paid Ads,5,2.1,5,4,3,1,0,57,31,1
201-500,Manufacturing,Social Media,3,10.2,2,0,1,0,0,166,87,0
501-1000,Professional Services,Organic Search,3,6.4,2,1,1,0,0,156,44,0
51-200,Healthcare,Paid Ads,4,2.2,2,1,3,0,0,143,34,1
11-50,Manufacturing,Direct,4,11.5,3,0,2,0,0,115,79,0
11-50,Education,Social Media,5,7.0,0,0,4,0,0,39,37,0
201-500,Manufacturing,Organic Search,0,10.7,2,2,3,1,1,20,69,0
501-1000,Education,Referral,6,10.6,2,1,3,1,0,47,1,1
1-10,Professional Services,Paid Ads,6,1.2,6,1,1,1,1,15,51,1
1-10,Technology,Event,3,3.9,3,0,1,0,0,141,2,0
51-200,Healthcare,Organic Search,3,4.7,7,0,3,0,0,52,15,0
1-10,Retail,Social Media,6,6.9,2,2,0,0,0,79,49,0
501-1000,Education,Social Media,5,1.8,3,0,0,0,0,111,55,1
11-50,Healthcare,Referral,4,5.3,2,0,0,0,0,126,10,0
1-10,Technology,Paid Ads,5,10.0,4,1,2,0,0,107,44,0
1000+,Manufacturing,Event,9,2.9,2,2,1,1,0,132,36,0
11-50,Technology,Event,1,8.7,1,1,2,0,0,21,40,1
11-50,Professional Services,Paid Ads,9,6.1,7,1,3,0,0,51,72,0
11-50,Manufacturing,Paid Ads,2,1.8,2,2,2,1,0,137,84,0
1-10,Retail,Social Media,6,3.0,4,3,1,1,0,129,6,0
1-10,Professional Services,Paid Ads,3,2.6,3,0,0,0,0,114,89,0
1-10,Retail,Paid Ads,4,7.8,2,1,3,0,0,169,4,0
11-50,Retail,Referral,2,2.0,2,0,1,0,0,176,85,0
1-10,Professional Services,Referral,8,10.1,3,1,0,0,0,16,55,0
51-200,Professional Services,Event,7,9.9,5,2,1,0,1,99,66,1
201-500,Professional Services,Direct,4,1.9,9,3,3,0,1,162,21,1
11-50,Technology,Social Media,7,10.8,0,0,2,0,0,59,53,0
11-50,Manufacturing,Organic Search,6,11.6,2,0,1,0,0,11,53,0
51-200,Financial Services,Paid Ads,4,1.5,2,2,4,0,0,22,28,0
501-1000,Professional Services,Organic Search,5,11.5,3,1,0,1,0,130,45,0
501-1000,Retail,Social Media,4,4.1,3,0,2,0,0,165,85,0
1-10,Healthcare,Referral,4,8.3,2,1,0,0,1,127,9,1
11-50,Technology,Direct,3,2.9,3,0,0,1,1,7,41,0
11-50,Financial Services,Paid Ads,4,10.0,1,1,2,0,1,74,30,0
11-50,Retail,Organic Search,7,10.3,1,1,2,0,0,63,18,0
51-200,Financial Services,Referral,2,11.8,3,0,2,0,0,164,43,1
51-200,Technology,Paid Ads,5,11.9,2,1,1,1,0,96,9,0
1-10,Professional Services,Organic Search,5,1.8,2,0,1,1,0,43,10,0
11-50,Professional Services,Paid Ads,4,8.2,3,1,1,0,0,102,75,0
51-200,Technology,Organic Search,9,4.0,1,1,1,0,0,135,28,0
1-10,Financial Services,Organic Search,6,2.4,3,2,1,0,1,105,29,1
501-1000,Education,Referral,1,2.6,2,1,2,0,0,75,59,0
1-10,Retail,Event,4,11.3,2,2,0,0,0,129,68,0
1000+,Retail,Direct,5,8.5,3,0,1,0,0,55,77,0
1-10,Financial Services,Paid Ads,4,1.6,6,0,0,0,1,23,56,0
501-1000,Financial Services,Paid Ads,6,11.8,1,1,1,0,1,155,23,0
1000+,Technology,Event,6,9.9,7,0,0,0,0,129,25,1
1000+,Retail,Direct,4,4.4,2,1,1,0,0,131,63,0
501-1000,Technology,Event,1,6.2,5,0,3,0,0,160,76,0
201-500,Technology,Referral,9,9.0,2,0,2,0,0,128,82,0
51-200,Retail,Direct,10,8.4,3,0,0,1,0,6,76,0
201-500,Education,Social Media,6,6.1,6,0,0,0,1,151,56,0
1-10,Professional Services,Organic Search,5,6.6,4,0,0,0,0,7,15,1
51-200,Manufacturing,Organic Search,2,1.5,3,0,1,0,0,125,37,1
51-200,Manufacturing,Direct,6,6.5,3,1,1,0,0,178,10,0
501-1000,Healthcare,Direct,7,4.7,8,4,1,0,0,73,39,0
51-200,Financial Services,Referral,4,4.1,4,0,0,1,0,56,54,0
11-50,Manufacturing,Social Media,12,4.0,4,0,1,0,0,167,60,0
51-200,Healthcare,Paid Ads,7,8.1,3,0,2,0,1,82,21,1
11-50,Manufacturing,Social Media,7,5.7,4,2,0,1,0,166,62,0
1-10,Professional Services,Paid Ads,6,5.7,7,0,0,0,0,56,29,0
51-200,Education,Paid Ads,4,2.8,1,1,1,0,0,33,62,0
51-200,Technology,Paid Ads,4,11.6,3,2,1,1,0,100,84,0
11-50,Healthcare,Referral,6,3.5,0,0,1,0,0,67,26,0
11-50,Technology,Direct,6,5.5,2,0,2,0,1,128,15,1
11-50,Healthcare,Direct,7,3.1,5,3,1,1,0,54,87,1
11-50,Financial Services,Organic Search,4,8.7,3,1,2,0,0,137,42,0
11-50,Technology,Paid Ads,3,5.8,5,0,1,0,0,64,20,0
201-500,Professional Services,Paid Ads,4,5.6,0,0,4,0,1,64,26,0
11-50,Manufacturing,Organic Search,7,10.6,2,1,1,0,0,128,42,0
1000+,Education,Referral,3,9.4,3,0,1,0,0,47,31,0
1000+,Technology,Referral,4,6.7,1,0,6,1,0,52,81,1
51-200,Technology,Organic Search,6,6.2,3,1,2,1,0,98,33,0
11-50,Healthcare,Direct,3,11.6,4,0,4,0,0,60,42,0
51-200,Technology,Event,5,11.5,4,1,2,1,0,69,23,1
501-1000,Financial Services,Organic Search,3,8.8,0,0,3,0,0,61,63,0
201-500,Education,Social Media,2,9.4,2,2,5,0,0,112,68,0
501-1000,Financial Services,Paid Ads,6,10.9,1,1,0,0,0,60,50,0
51-200,Technology,Social Media,4,11.6,0,0,3,0,0,110,73,0
51-200,Manufacturing,Referral,6,1.9,4,0,2,0,0,42,24,0
11-50,Manufacturing,Organic Search,7,12.0,3,0,4,0,0,161,48,1
201-500,Manufacturing,Referral,4,8.7,3,0,0,1,0,171,65,0
11-50,Healthcare,Direct,7,7.5,0,0,3,0,0,1,80,0
201-500,Professional Services,Social Media,3,5.5,2,0,1,0,0,19,29,0
501-1000,Technology,Social Media,6,4.7,1,1,1,0,0,19,12,0
1-10,Healthcare,Event,5,9.8,4,0,0,0,0,33,70,1
51-200,Retail,Event,1,8.2,5,3,0,0,0,141,45,0
1-10,Professional Services,Direct,5,3.2,3,2,3,0,0,45,5,1
201-500,Healthcare,Organic Search,4,7.7,4,2,2,0,0,105,74,0
1-10,Manufacturing,Organic Search,6,2.6,2,0,3,0,0,46,44,0
1000+,Technology,Event,6,6.5,2,2,1,0,0,12,55,1
1-10,Technology,Direct,7,7.4,3,0,1,0,0,16,32,0
1000+,Technology,Referral,7,8.0,1,0,1,0,1,169,88,0
501-1000,Retail,Direct,2,2.6,5,1,1,0,0,100,38,0
51-200,Financial Services,Social Media,6,2.1,6,4,1,0,0,117,53,0
201-500,Retail,Organic Search,2,3.8,5,1,2,1,0,34,48,1
201-500,Technology,Direct,10,7.7,1,0,1,0,0,87,86,1
1000+,Professional Services,Event,4,11.2,2,0,3,0,0,118,55,1
11-50,Professional Services,Referral,1,9.6,3,1,1,0,0,140,8,1
51-200,Technology,Social Media,7,9.2,1,1,2,1,0,118,77,0
1-10,Technology,Paid Ads,5,4.6,6,1,0,0,0,107,3,0
51-200,Technology,Social Media,5,2.2,7,0,3,0,0,112,47,0
11-50,Professional Services,Paid Ads,1,10.8,5,1,3,0,1,67,32,0
51-200,Financial Services,Referral,6,6.5,1,1,1,0,0,126,43,0
51-200,Manufacturing,Social Media,5,2.1,3,0,1,0,0,54,75,0
51-200,Healthcare,Organic Search,2,6.9,4,1,1,1,0,129,9,1
51-200,Professional Services,Organic Search,1,8.4,1,1,2,0,0,82,4,1
201-500,Manufacturing,Organic Search,4,4.5,4,1,4,0,0,104,81,0
201-500,Manufacturing,Referral,2,1.1,2,0,0,0,0,86,22,0
51-200,Education,Paid Ads,2,7.8,7,1,1,0,0,102,39,0
51-200,Technology,Referral,5,1.4,4,1,1,0,0,128,88,1
1000+,Professional Services,Referral,5,5.8,3,1,2,0,0,51,65,0
1-10,Technology,Organic Search,4,10.1,7,0,3,0,0,85,57,0
1-10,Manufacturing,Event,8,12.0,2,2,3,0,0,73,0,0
1-10,Professional Services,Social Media,6,5.1,5,1,3,0,0,4,35,0
201-500,Retail,Social Media,1,1.2,5,1,2,0,1,153,46,1
51-200,Retail,Organic Search,3,6.4,0,0,2,0,0,123,7,0
201-500,Financial Services,Social Media,2,4.0,2,0,4,0,1,9,58,0
201-500,Healthcare,Referral,0,10.8,2,1,1,0,0,13,67,0
11-50,Healthcare,Event,5,8.8,4,2,0,0,0,166,33,0
501-1000,Manufacturing,Organic Search,4,5.4,4,3,2,0,0,152,83,0
201-500,Healthcare,Social Media,3,9.4,3,2,0,1,1,131,84,1
11-50,Financial Services,Direct,10,4.8,2,1,1,0,1,127,66,0
11-50,Financial Services,Direct,3,6.7,2,1,1,0,0,151,28,0
11-50,Financial Services,Direct,0,11.2,5,3,6,0,1,108,10,0
11-50,Healthcare,Organic Search,9,3.2,1,1,1,1,0,2,62,1
1-10,Technology,Referral,8,4.4,4,1,2,1,0,82,47,0
1000+,Professional Services,Organic Search,2,10.7,4,1,0,0,0,60,64,0
51-200,Retail,Referral,7,6.1,5,1,0,1,0,31,36,1
11-50,Technology,Social Media,4,4.5,4,1,4,0,0,154,13,0
201-500,Retail,Social Media,3,1.4,2,0,0,1,0,118,81,0
